tier,item,price
Legendary,AK-47 | Legion of Anubis,49.99
Legendary,AK-47 | Inheritance,62.74
Legendary,Glock-18 | Bullet Queen,79.07
Legendary,M4A4 | The Emperor,81.65
Legendary,Five-SeveN | Angry Mob,76.96
Legendary,USP-S | The Traitor,51.19
Legendary,Desert Eagle | Printstream,53.38
Legendary,M4A1-S | Vaporwave,77.74
Legendary,AK-47 | Head Shot,47.1
Legendary,AWP | Containment Breach,125.5
Legendary,Glock-18 | Neo-Noir,55.67
Legendary,USP-S | Printstream,57.01
Legendary,FAMAS | Bad Trip,65.9
Legendary,AWP | Neo-Noir,56.35
Legendary,AWP | Wildfire,64.51
Legendary,AWP | Chrome Cannon,41.26
Legendary,M4A4 | Buzz Kill,442.95
Legendary,FAMAS | Commemoration,40.68
Legendary,M4A1-S | Player Two,75.63
Legendary,M4A4 | Temukau,48.14
Legendary,Glock-18 | Gold Toof,42.0
Legendary,PP-Bizon | Judgement of Anubis,160.33
Legendary,AWP | Chromatic Aberration,46.92
Legendary,AWP | Printstream,69.0
Legendary,M4A4 | In Living Color,47.74
Legendary,Desert Eagle | Code Red,65.35
Legendary,SSG 08 | Dragonfire,415.76
Legendary,M4A1-S | Chantico's Fire,160.46
Legendary,MP9 | Starlight Protector,91.34
Legendary,MAC-10 | Stalker,59.59
Legendary,M4A1-S | Printstream,288.51
Legendary,AK-47 | Leet Museo,349.49
Epic,Sawed-Off | Devourer,6.18
Epic,FAMAS | Rapid Eye Movement,9.01
Epic,Zeus x27 | Olympus,4.55
Epic,Sawed-Off | Wasteland Princess,49.08
Epic,USP-S | Cortex,4.9
Epic,AUG | Stymphalian,5.1
Epic,Galil AR | Chromatic Aberration,5.37
Epic,MP7 | Abyssal Apparition,8.92
Epic,USP-S | Monster Mashup,30.17
Epic,Dual Berettas | Melondrama,8.99
Epic,SG 553 | Colony IV,13.51
Epic,UMP-45 | Wild Child,4.71
Epic,P250 | Asiimov,15.69
Epic,AK-47 | Searing Rage,6.34
Epic,USP-S | Jawbreaker,5.35
Epic,MP9 | Hydra,8.24
Epic,SSG 08 | Bloodshot,25.27
Epic,XM1014 | XOXO,4.94
Epic,SSG 08 | Turbo Peek,26.37
Epic,UMP-45 | Neo-Noir,7.09
Epic,AUG | Death by Puppy,5.45
Epic,MP9 | Food Chain,5.38
Epic,MAG-7 | Justice,7.3
Epic,P90 | Shallow Grave,48.77
Epic,Glock-18 | Shinobu,6.74
Epic,UMP-45 | Momentum,5.81
Epic,Glock-18 | Snack Attack,26.98
Epic,MAC-10 | Disco Tech,7.25
Epic,Tec-9 | Decimator,24.96
Epic,M4A1-S | Black Lotus,6.0
Epic,AK-47 | Phantom Disruptor,7.24
Epic,AUG | Momentum,7.52
Epic,UMP-45 | Primal Saber,15.23
Rare,FAMAS | ZX Spectron,5.26
Rare,USP-S | Ticket to Hell,0.8
Rare,MP7 | Just Smile,0.58
Rare,AWP | Atheris,6.34
Rare,Galil AR | Signal,0.98
Rare,MAG-7 | SWAG-7,0.62
Rare,XM1014 | Zombie Offensive,0.8
Rare,Dual Berettas | Dezastre,5.65
Rare,MP7 | Powercore,1.39
Rare,G3SG1 | Dream Glade,0.92
Rare,Dual Berettas | Royal Consorts,6.55
Rare,SSG 08 | Rapid Transit,1.47
Rare,Five-SeveN | Buddy,0.89
Rare,M4A4 | Spider Lily,12.47
Rare,Nova | Wild Six,0.57
Rare,UMP-45 | Arctic Wolf,0.58
Rare,XM1014 | Black Tie,1.54
Rare,MAG-7 | BI83 Spectrum,2.87
Rare,AK-47 | Rat Rod,6.01
Rare,Glock-18 | Moonrise,1.15
Rare,AWP | Exoskeleton,7.51
Rare,P90 | Randy Rush,0.98
Rare,UMP-45 | Gold Bismuth,4.95
Rare,MAC-10 | Sakkaku,1.16
Rare,MP5-SD | Agent,1.04
Rare,Glock-18 | Block-18,0.64
Rare,SG 553 | Darkwing,0.84
Rare,AWP | PAW,3.07
Rare,Dual Berettas | Flora Carnivora,0.64
Rare,Nova | Clear Polymer,4.92
Rare,Galil AR | Control,0.58
Common,SG 553 | Heavy Metal,0.4
Common,XM1014 | Irezumi,0.09
Common,USP-S | 27,0.32
Common,R8 Revolver | Bone Forged,0.46
Common,AWP | Capillary,0.92
Common,PP-Bizon | Night Riot,0.24
Common,MP9 | Capillary,0.6
Common,Glock-18 | Winterized,0.14
Common,M249 | Spectre,0.7
Common,Dual Berettas | Elite 1.6,0.61
Common,G3SG1 | Keeping Tabs,1.11
Common,XM1014 | Mockingbird,0.11
Common,R8 Revolver | Tango,0.32
Common,P250 | Verdigris,0.37
Common,Tec-9 | Slag,0.09
Common,SSG 08 | Dezastre,0.11
Common,P90 | Cocoa Rampage,1.3
Common,PP-Bizon | Runic,0.11
Common,Glock-18 | Clear Polymer,0.53
Common,MAG-7 | Resupply,0.14
Common,MAG-7 | Insomnia,0.1
Common,PP-Bizon | Lumen,0.98
Common,Desert Eagle | Calligraffiti,0.35
Common,P250 | Cassette,0.12
Common,AUG | Amber Slipstream,0.63
Common,Tec-9 | Rebel,0.1
Common,G3SG1 | Digital Mesh,1.24
Common,MP7 | Mischief,0.58
Common,Glock-18 | Sacrifice,0.61
Common,MAC-10 | Classic Crate,0.55
Common,CZ75-Auto | Vendetta,1.3
Common,Tec-9 | Flash Out,0.7
Common,Dual Berettas | Hideout,0.09
